NAMESPACE            NAME                                                     CPU(cores)   MEMORY(bytes)   
ai-orchestrator      api-gateway-86c64fbd4-gx2mz                              7m           158Mi           
ai-orchestrator      dispatch-worker-6c9cd4bbdb-sr5wm                         3m           68Mi            
ai-orchestrator      frontend-885c86d99-xb69d                                 0m           4Mi             
ai-orchestrator      llm-worker-5b69b5bbb5-9qnln                              3m           69Mi            
ai-orchestrator      postgres-764dffcc98-qm5kr                                6m           47Mi            
ai-orchestrator      redis-5d59c5c9-266kx                                     24m          15Mi            
ai-orchestrator      vision-worker-66d5df8b78-h47d8                           3m           90Mi            
argocd               argocd-application-controller-0                          6m           235Mi           
argocd               argocd-applicationset-controller-666595d995-nm6jz        1m           129Mi           
argocd               argocd-dex-server-55dc4bcc67-4z2x5                       1m           26Mi            
argocd               argocd-notifications-controller-5dc4fd545-sbj2g          2m           18Mi            
argocd               argocd-redis-5649576cc9-lphmq                            11m          4Mi             
argocd               argocd-repo-server-8666d86f5f-w2s92                      2m           34Mi            
argocd               argocd-server-75fd85cc6d-92cjx                           1m           31Mi            
cert-manager         cert-manager-7ddd8cdb9f-tghg4                            3m           72Mi            
cert-manager         cert-manager-cainjector-57cd76c845-mlm8g                 1m           89Mi            
cert-manager         cert-manager-webhook-cf8f9f895-rpmwt                     1m           57Mi            
default              cluster-browser-5466fc684-4tmzl                          1m           4Mi             
default              cluster-browser-5466fc684-8t4q8                          1m           9Mi             
default              guestbook-helm-guestbook-774886bf59-gd6qh                1m           39Mi            
ingress-nginx        ingress-nginx-controller-5fbb7956c-2nzw8                 2m           84Mi            
ingress-nginx        ingress-nginx-controller-5fbb7956c-8hr9x                 1m           34Mi            
jellyfin             jellyfin-5ff8d5c9d9-vrs8j                                2m           278Mi           
keycloak             keycloak-0                                               5m           509Mi           
keycloak             keycloak-postgresql-0                                    18m          30Mi            
kube-flannel         kube-flannel-ds-86cmq                                    11m          55Mi            
kube-flannel         kube-flannel-ds-g8vdh                                    15m          56Mi            
kube-flannel         kube-flannel-ds-hmbmm                                    18m          55Mi            
kube-flannel         kube-flannel-ds-m2dz5                                    8m           64Mi            
kube-system          coredns-7dd9859bf5-c4t4n                                 4m           61Mi            
kube-system          coredns-7dd9859bf5-pt74l                                 4m           63Mi            
kube-system          etcd-k8s-master                                          38m          175Mi           
kube-system          kube-apiserver-k8s-master                                101m         980Mi           
kube-system          kube-controller-manager-k8s-master                       27m          152Mi           
kube-system          kube-proxy-8jrg7                                         1m           61Mi            
kube-system          kube-proxy-hv4gz                                         1m           69Mi            
kube-system          kube-proxy-mm977                                         1m           62Mi            
kube-system          kube-proxy-ndkd9                                         1m           62Mi            
kube-system          kube-scheduler-k8s-master                                5m           70Mi            
kube-system          metrics-server-56d47d49b7-wsd2f                          5m           74Mi            
kube-system          nvidia-device-plugin-daemonset-bd6l4                     1m           25Mi            
local-path-storage   local-path-provisioner-cc8847cc-cfc46                    1m           32Mi            
metallb-system       metallb-controller-66867ddf87-rpd8s                      3m           69Mi            
metallb-system       metallb-speaker-7mx8n                                    12m          119Mi           
metallb-system       metallb-speaker-gzdwl                                    10m          128Mi           
metallb-system       metallb-speaker-mr886                                    15m          119Mi           
metallb-system       metallb-speaker-wq6l2                                    15m          120Mi           
monitoring           alertmanager-monitor-kube-prometheus-st-alertmanager-0   2m           62Mi            
monitoring           monitor-grafana-788d64bc5c-9fwt8                         8m           271Mi           
monitoring           monitor-kube-prometheus-st-operator-67bc886df7-mw2km     4m           72Mi            
monitoring           monitor-kube-state-metrics-5c56769557-5dfwx              2m           69Mi            
monitoring           monitor-prometheus-node-exporter-5j62n                   1m           26Mi            
monitoring           monitor-prometheus-node-exporter-7h9vv                   7m           25Mi            
monitoring           monitor-prometheus-node-exporter-cl5jm                   1m           25Mi            
monitoring           monitor-prometheus-node-exporter-l824s                   2m           25Mi            
monitoring           prometheus-monitor-kube-prometheus-st-prometheus-0       41m          331Mi           
pihole               pihole-b7c9d86-59ppw                                     2m           81Mi            
portfolio            portfolio-web-86c5d7879d-xxnms                           1m           7Mi             
qbittorrent          qbittorrent-6f5474d585-sclfq                             1m           59Mi            
registry             registry-5948fcf6d8-rcsnk                                1m           20Mi            
